question,category,volume_usdc
Counter-Strike: SemperFi Esports vs Ground Zero - Map 2 Winner,military_geopolitics,
Will the next US x Venezuela military engagement occur on November 30?,military_geopolitics,38868.0
Counter-Strike: WW Team vs Oxuji Esports - Map 1 Winner,military_geopolitics,2252.0
Games Total: O/U 2.5,military_geopolitics,204.0
Counter-Strike: Wildcard vs Wanted Goons - Map 2 Winner,military_geopolitics,123.0
Will Trump attend NATO Summit?,military_geopolitics,72320.0
Will Israel strike Lebanon on November 4?,military_geopolitics,728964.0
Counter-Strike: AaB Esport vs aimclub (BO3) - XPortal Closed Qualifier Group C,military_geopolitics,4276.0
Map 2: Odd/Even Total Kills?,military_geopolitics,
"T20 Series Hong Kong vs Kuwait: Hong Kong, China vs Kuwait - Team Top Batter Kuwait Winner",military_geopolitics,21.0
"Will Donald Trump post 40-59 Truth Social posts from February 10 to February 17, 2026?",regulatory_decision,16142.0
Davion Mitchell: Assists Over 6.5,regulatory_decision,35.0
Dejounte Murray: Rebounds O/U 4.5,regulatory_decision,
Cam Spencer: Points O/U 12.5,regulatory_decision,
"""Caught Stealing"" Rotten Tomatoes score is between 75 and 79?",regulatory_decision,790.0
Moritz Wagner: Rebounds O/U 3.5,regulatory_decision,
"Will Elon Musk post 280-299 tweets from October 7 to October 14, 2025?",regulatory_decision,218304.0
Will Trump issue an executive order on February 27?,regulatory_decision,76513.0
"ODI Series Australia vs India, Women: Australia vs India",regulatory_decision,237257.0
Exact Score: RB Leipzig 1 - 1 TSG 1899 Hoffenheim?,regulatory_decision,
Will Meta (META) close at $690-$700 on the final day of trading of the week of Dec 8 – Dec 12?,corporate_disclosure,2303.0
Will Google (GOOGL) finish week of April 27 above $315?,corporate_disclosure,
Will Freecash - Get Paid Real Money be #1 Free App in the US Apple App Store on March 24?,corporate_disclosure,
Will Google (GOOGL) close at $310-$315 on the final day of trading of the week of Mar 9 – Mar 13?,corporate_disclosure,
"Will EA say ""Mobile"" during earnings call?",corporate_disclosure,85510.0
Will Moonshot have the #2 AI model at the end of March 2026?,corporate_disclosure,62170.0
Will Google be #1 Free App in the US Apple App Store on January 30?,corporate_disclosure,13282.0
Will Amazon (AMZN) close above $245 on April 14?,corporate_disclosure,716.0
Will Google (GOOGL) finish week of April 20 above $360?,corporate_disclosure,670.0
Will Microsoft (MSFT) close above $430 on January 26?,corporate_disclosure,10971.0
