case_id,market_id_prefix,question,category,res_type,in_pipeline,exclusion_reason
fficd-001,0xdd22472e,Will Donald Trump win the 2024 US Presidential Election?,other,unclassifiable,False,res_type=unclassifiable
fficd-001,0xc6485bb7,Will Kamala Harris win the 2024 US Presidential Election?,other,unclassifiable,False,res_type=unclassifiable
fficd-001,0x55c55189,Will any other Republican Politician win the 2024 US Presidential Election?,other,unclassifiable,False,res_type=unclassifiable
fficd-001,0x230144e3,Will Michelle Obama win the 2024 US Presidential Election?,other,unclassifiable,False,res_type=unclassifiable
fficd-002,0xc1b6d712,Iran strike on Israel today?,military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-002,0x93727420,Another Iran strike on Israel by Friday?,military_geopolitics,deadline_resolved,True,deadline_NO
fficd-002,0xc8312853,Iran strike on Israel by Nov 8?,military_geopolitics,deadline_resolved,True,deadline_NO
fficd-003,0x6d0e09d0,US forces enter Iran by April 30?,military_geopolitics,deadline_resolved,True,low_confidence_t_event
fficd-003,0x4c5701bc,US x Iran ceasefire by April 7?,military_geopolitics,deadline_resolved,True,edge_effect
fficd-003,0xd4bbf7f6,Khamenei out as Supreme Leader of Iran by February 28?,military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-003,0x9823d715,"Israel x Hezbollah ceasefire by April 18, 2026?",military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-003,0x3488f31e,"US strikes Iran by February 28, 2026?",military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-003,0x70909f0b,Khamenei out as Supreme Leader of Iran by March 31?,military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0xbfa45527,Maduro in U.S. custody by January 31?,military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0x3b4b3c1b,"US x Venezuela military engagement by January 15, 2026?",military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0x92a5c555,"US x Venezuela military engagement by January 31, 2026?",military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0xdfaaf716,Trump invokes War Powers against Venezuela by January 9?,military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0x79801a0f,Trump invokes War Powers against Venezuela by January 31?,military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0x3ad10b05,"US x Venezuela military engagement by March 31, 2026?",military_geopolitics,unclassifiable,False,res_type=unclassifiable
fficd-004,0xe377cc3f,Nicolás Maduro seen in public by January 5?,other,deadline_resolved,False,category=other_not_in_target
fficd-004,0x7f3c6b90,"Will the U.S. invade Venezuela by January 31, 2026?",military_geopolitics,deadline_resolved,True,deadline_NO
fficd-004,0x62b0cd59,US x Venezuela military engagement by December 31?,military_geopolitics,deadline_resolved,True,deadline_NO
fficd-004,0xbea5d517,US x Venezuela military engagement by November 30?,military_geopolitics,deadline_resolved,True,deadline_NO
fficd-004,0x3f8c674a,"US forces in Venezuela again by January 31, 2026?",military_geopolitics,deadline_resolved,True,deadline_NO
fficd-005,0xb36886bb,Bitcoin ETF approved by Jan 15?,regulatory_decision,event_resolved,True,in_scope_ils_computed
fficd-006,0x54361608,Will Gene Hackman be ranked #1 globally in Google’s Year in Search 2025 Passings,corporate_disclosure,unclassifiable,False,res_type=unclassifiable
fficd-006,0x45126353,Will Ismail Haniyeh be ranked #1 globally in Google’s Year in Search 2025 Passin,corporate_disclosure,unclassifiable,False,res_type=unclassifiable
fficd-006,0x26477123,Will Zendaya be ranked #1 globally in Google’s Year in Search 2025 Actors?,corporate_disclosure,unclassifiable,False,res_type=unclassifiable
fficd-007,0xf4078ddd,Will Biden pardon SBF?,other,unclassifiable,False,res_type=unclassifiable
fficd-007,0x2b8608c1,SBF sentenced to 50+ years?,regulatory_decision,event_resolved,True,ils_compute_error: PriceLookupError
fficd-007,0x02c8326d,FTX doesn't start payouts in 2024?,regulatory_decision,unclassifiable,False,res_type=unclassifiable
fficd-008,0x9872fe47,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,regulatory_decision,event_resolved,True,edge_effect
