market_id,question,pass1_date,pass1_sources,pass2_date,pass2_sources,severity_class
0xf5c40222f7fb89ce816686c4523f51e7681004b24f9b8641974869d1341e7047,Will Union Progressiste pour le Renouveau (UPR) win the most seats in the 2026 Benin parliamentary election?,2026-01-18,,2026-01-11,Wikipedia - 2026 Beninese parliamentary election; Al Jazeera; Anadolu Agency,minor
0xab17c8aa9f0ecd1a06149bc68ae7bb5d3ad79ceadcd008e14c5e70ac2b2196f0,Will Nasry Juan Asfura Zablah win the 2025 Honduran presidential election?,2025-11-29,,2025-12-24,Wikipedia - 2025 Honduran general election; CNN; CBC News,major
0xe601955a402f72645799c5b0cfe4632b7c875e25a2adc845d649cfd30a392a86,Will Zouhair Maghzaoui win the Tunisia presidential election?,2024-10-07,https://www.aljazeera.com/news/2024/10/7/tunisias-saied-wins-presidential-election-electoral-commission-says; https://english.news.cn/africa/20241008/afcd3d9ae48b4fc9b04f5639cc78d4f1/c.html; https://en.wikipedia.org/wiki/2024_Tunisian_presidential_election,2024-10-06,Wikipedia - 2024 Tunisian presidential election; Al Jazeera; Committee for Justice,minor
0x99074dab2c5d02db76cecf2af1f04c96e55a32dad894d22dee6df781bf26e904,"Will Gold (GC) hit (LOW) $5,200 by end of March?",2026-03-04,,2026-02-28,CNN; Wikipedia 2026 Iran war; Israel ALMA,minor
0x9cba0b7c9ea0897ffaba9e64047c1a6472f48a69b435773c438ad41f2f255520,Will the Party of Action and Solidarity win the most seats in the 2025 Moldova parliamentary election?,2025-09-20,,2025-09-28,Wikipedia; Al Jazeera; CNN,major
0x73f531e7088e7da29626e152d60566aa71a4a078b6ae6b7215577a963edc376c,Will Luisa González win the 2025 Ecuadorian Presidential Election? ,2025-04-14,https://www.americafirstpolicy.com/issues/afpi-staff-monitor-april-presidential-runoff-elections; https://www.cnn.com/2025/04/13/americas/ecuador-vote-noboa-gonzalez-latam-intl; https://www.aljazeera.com/news/2025/4/14/ecuadors-noboa-wins-presidential-runoff-rival-demands-recount,2025-05-10,CNN; Al Jazeera; Morning Star,major
0xf4228d1c1dc61231e3fac31b0c20884ba64f93fdfbe08704990720b04408d337,Will the Bills win the AFC Championship?,2025-01-27,https://www.pro-football-reference.com/boxscores/202501260kan.htm; https://en.wikipedia.org/wiki/2024_AFC_Championship_Game; https://www.cbssports.com/nfl/gametracker/boxscore/NFL_20250126_BUF@KC/,2025-01-26,ESPN; Pro Football Reference; FOX Sports,minor
0x278914894a4377e6c9aebe8372ce8e797d1c4f0f594d66667d25cfc9ae225a63,Another actor announced as next James Bond actor?,2024-09-05,,,Euronews; The New Daily; Complex,unknown
0x21689d1c243520bcaff1f0a9d7e45bd63da4f86fbb6a3aec93008e17d437d2c5,Will Trump win Wyoming by the largest margin?,2024-11-05,,2024-11-13,Wyoming News Now; Jackson Hole Radio; Sheridan Media,major
0x73441b658bab3a774b15330b6eed76436b245ba2193b88997b5ef63efd53f776,Will Silver (SI) hit (LOW) $85 by end of March?,2026-03-04,,,CME Group; Fortune; Yahoo Finance,unknown
