rank,market_id,question,bucket,period,p_open,p_event,p_resolve,ils_dl_raw,ils_dl_adj,tau_days,volume_usdc,diagnostic_flag,llm_confidence,llm_reasoning
1,0xabed6391f6878d0c1f,"Will ""Only Murders in the Building"" win Best Cast in a Comedy Series at the 2025 SAG Awards?",regulatory_formal,post_2024,0.5,0.997,1,0.994,1.1231,11.16,74333.363398,plausible_leakage,0.85,"Price moved from 0.500 to 0.997 (99.4% of total move) over 11.2 days pre-event, with raw ILS^dl of 0.9940 indicating nearly all movement occurred before the SAG Awards announcement. The hazard-adjusted ILS^dl of 1.1231 > 1.0 suggests the pre-event move was even sharper than would be expected from pure deadline decay, particularly given the market resolved YES (1.0). This sharp convergence to near-certainty before a discrete, well-defined event is consistent with informed traders acting on knowledge of the outcome before public announcement."
2,0x305a10aa0564b67ed9,"Will ""I'm Not a Robot"" win Best Action Short Film at the 2025 Oscars?",regulatory_formal,post_2024,0.5,0.911,1,0.822,0.9641,10.07,56264.367442,plausible_leakage,0.92,"Sharp price movement from 0.50 to 0.911 (82% gain) over 10.1 days before event, with 96.4% of total move occurring pre-event. The high hazard-adjusted ILS^dl (0.9641) indicates the price trajectory is not explained by mechanical deadline decay. Instead, the steep pre-event price acceleration toward the eventual YES resolution (1.0) is consistent with informed traders gaining confidence in the outcome before public announcement. The discrete Oscar award event provides a clear information asymmetry window where leakage is plausible."
3,0xd4a5d075976c4b6e4f,Will ENCE win the Elisa Masters Espoo 2024?,other,pre_2024,0.5,0.91,1,0.82,1.1335,9.23,111004.247008,plausible_leakage,0.85,"Price moved 0.500 → 0.910 (82% of total move) over 9.2 days pre-event, with hazard-adjusted ILS^dl of 1.13 indicating movement exceeds mechanical deadline decay. Sharp, directional price increase toward YES outcome that resolved 1 is consistent with informed trading ahead of a discrete, well-defined esports event. The high raw ILS^dl (0.82) concentrated pre-event motion suggests information revelation rather than random walk or anchor fragmentation."
4,0xfa1543cdef36d55ef9,Will Ehud Barak be named in newly released Epstein files?,regulatory_formal,post_2024,0.17,0.69,1,0.6265,0.6326,34.02,178531.280039,plausible_leakage,0.78,"Price moved sharply from 0.170 to 0.690 (305% increase) over 34 days pre-event, with 63.26% of total move occurring before resolution. This substantial pre-event appreciation toward the YES outcome (which resolved to 1), combined with the high ILS^dl and its stability across hazard adjustment, suggests informed traders had advance knowledge of the Epstein files release or naming. The magnitude and timing pattern is inconsistent with mechanical deadline decay, which would show gradual drift rather than this pronounced directional move."
5,0x0c3b65c7bb09f687af,Will Rodrigo Paz Pereira win by 5–10%?,regulatory_formal,post_2024,0.705,0.86,1,0.5254,1.2225,61.33,859519.801273,plausible_leakage,0.78,"Price moved sharply from 0.705 to 0.860 (22% absolute, 15.5pp) pre-event with strong hazard-adjusted ILS^dl of 1.2225, indicating the move exceeded what deadline decay alone would predict. Raw ILS^dl of 0.5254 shows over half the total move occurred before event. The resolution to YES (1.0) perfectly aligned with the elevated pre-event price of 0.860, suggesting informed traders moved the market toward the outcome before Paz Pereira's actual election result was publicly known. This pattern is consistent with information leakage rather than mechanical deadline effects."
6,0x399cd123b942dad649,Will the New Democrats win the second most seats in the next Ontario Parliamentary election?,regulatory_announcement,post_2024,0.505,0.765,1,0.5253,0.8582,5.12,209949.348811,plausible_leakage,0.78,"Sharp pre-event price movement from 0.505 to 0.765 (51.5% increase) over 5.1 days, with 85.82% of total move occurring before resolution. High hazard-adjusted ILS^dl (0.8582) indicates sustained pressure toward the YES outcome well before event materialized. The outcome resolved YES (1.0), validating the directional signal. This pattern is consistent with informed traders moving the market ahead of an Ontario election announcement or polling data release, rather than mechanical deadline effects or anchor fragility."
7,0xd8f6d67870fe6562a4,Will 'Hit Me Hard and Soft' win Album of the Year?,regulatory_formal,post_2024,0.8973,0.44,0,0.5097,0.5008,74.36,169864.65529,plausible_leakage,0.72,"Price declined sharply from 0.897 to 0.440 (50.9% drop) over 74.4 days pre-event, with ILS^dl ≈ 0.50 indicating roughly half the total move occurred before resolution. The magnitude and timing of the pre-event decline, combined with the correct resolution (NO), suggests informed traders may have had advance knowledge that 'Hit Me Hard and Soft' would not win Album of the Year. The high raw price did not decay mechanically toward 0—it dropped decisively mid-period, consistent with information arrival rather than pure deadline effects."
8,0x5645da6871fe49c520,Will PSG win?,regulatory_formal,pre_2024,0.5,0.745,1,0.49,0.7727,3.0,56771.995127,plausible_leakage,0.82,"Sharp pre-event price movement from 0.500 to 0.745 (49% increase) over 3 days, resolving to 1 (outcome correct). Hazard-adjusted ILS^dl of 0.7727 indicates substantial portion of total move occurred before event, well above neutral. Raw ILS^dl of 0.49 suggests meaningful pre-event drift. The magnitude and timing of price appreciation before resolution, combined with correct outcome prediction, is consistent with informed flow accumulating ahead of the event rather than mechanical deadline decay. Market had clear discrete event (PSG match) with sufficient time window."
9,0x04a3a18500215acbce,Brian Thompson Perp arrested by Friday?,regulatory_formal,post_2024,0.525,0.755,1,0.4842,0.8412,2.12,193327.935797,plausible_leakage,0.78,"The market opened at 0.525 and moved sharply upward to 0.755 (43.8% increase) over 2.1 days before resolving YES. The hazard-adjusted ILS^dl of 0.8412 is substantially elevated, indicating that the pre-event price move was disproportionate to what deadline decay alone would predict. The raw ILS^dl of 0.4842 shows nearly half the total move occurred pre-event despite only 2.1 days elapsing. This pattern—sharp directional movement well before a discrete, verifiable event (arrest by Friday) that ultimately confirmed the market's direction—is consistent with informed traders positioning ahead of the outcome."
10,0xd4c4bb2b565b9d2c53,Will Javier Milei win by more than 5% in the 2023 Argentina Presidential election?,regulatory_announcement,pre_2024,0.5,0.735,1,0.47,0.8586,3.1,57090.867017,plausible_leakage,0.85,"Sharp pre-event price movement from 0.50 to 0.735 (+47%) over 3.1 days before a discrete, well-defined election event. High hazard-adjusted ILS^dl (0.8586) indicates substantial mass of total price movement occurred pre-event relative to deadline decay expectations. Raw ILS^dl (0.47) shows nearly half the full move happened before resolution, inconsistent with pure mechanical deadline effects. The outcome (1.0) validates the direction of pre-event price appreciation. Pattern is consistent with informed traders positioning ahead of a known discrete event rather than random walk or decay mechanics."
